day,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,62127,55811,36113,70261,63665,43622,20782,16096,41736,27192,15600,23864,23416,22688,44419,47185,57831,51038,41862,23427,31832,37621,33440,53040
2,66016,52791,36227,69503,62458,41963,19670,19292,40526,25895,17031,24968,23436,22006,48577,46350,57936,49531,39879,22694,36029,35121,37366,55760
3,65632,50245,34726,69485,60851,40814,20094,24045,39230,24955,17903,26395,22251,21924,49238,48520,58388,48689,39694,22770,37828,33831,40645,58926
4,65090,46544,35182,70907,57170,39640,19751,28267,37266,24572,18072,28381,20214,21697,48082,50648,56760,47304,39380,24871,37194,33322,42438,61677
5,62331,39484,38003,77082,54853,34910,19536,34391,34412,22699,18202,32131,19458,19481,47215,55886,54032,44659,39155,29506,35531,30536,44793,66543
6,60801,31247,41590,82905,52310,28936,20458,40875,30382,20517,19290,36307,19055,15012,47758,60782,50220,41815,39153,32629,32849,23496,48054,70171
7,58300,29308,43972,86187,51524,28871,21338,44206,27617,19459,21466,37870,18473,13235,47746,60446,46665,41303,39565,38772,31384,22820,50456,69497
8,56027,27666,45279,86217,49734,27655,22581,45446,24915,19079,22561,38410,18700,14544,47082,63929,43460,38253,40234,34298,30165,22317,53638,67392
9,54066,24798,48207,83722,48557,26462,24619,45834,24939,18855,24059,36279,20216,15386,45043,63300,42129,36300,41287,31794,27931,20035,54185,64781
10,51199,25369,56879,81106,45368,26159,28144,42846,23969,18480,26566,33455,19849,15577,46081,61956,40972,34951,43482,29040,25226,18583,57273,59728
11,44019,30304,68720,77400,41075,26390,34983,37840,22593,18324,30666,31767,17577,15742,53672,58850,36774,34178,48278,26637,22293,19723,64325,57015
12,35964,34399,76723,73205,40330,26612,42485,34262,20655,19083,35779,30700,14086,15569,60480,55516,32780,35078,51536,24430,16923,22479,69130,55263
13,34252,35542,81378,68699,37592,25795,46052,33249,19898,19880,38798,29955,11452,16113,63796,52962,33581,35251,51015,22121,16733,26205,69799,53864
14,32703,36811,83008,65727,34242,25423,48733,31933,20593,20866,38093,29541,10888,16744,67412,50991,35984,37219,52637,20774,17152,29402,68372,52751
15,29916,37992,82216,65479,33226,27320,48759,31906,22965,21659,36881,27202,10948,17575,67228,50097,37808,38814,52396,18951,16792,33437,66412,52242
16,30024,41761,80018,65328,32428,31191,46794,29757,24057,23311,34890,24009,10229,19772,66237,45142,38594,41548,50719,17392,16515,39960,64483,51876
17,31842,49520,79179,63550,31170,36088,41657,25651,23870,26830,33828,19278,10887,25156,63881,38306,37326,48164,48201,15006,17120,48745,62721,47997
18,34512,59079,77631,65358,30598,42268,37229,22892,24254,29547,31263,14613,12946,31183,62086,30033,38831,54577,46234,12490,18223,55342,60806,44663
19,36961,62047,75547,65164,29932,48259,33377,22252,26796,29946,29744,12949,13937,35314,60880,26820,41534,56131,43351,11889,20106,59775,59730,46389
20,36635,67191,73683,60842,29949,46122,30682,21977,29373,30033,28139,11956,15208,39103,60121,23110,45204,58906,40836,13191,22353,58584,59229,47643
21,37026,69418,71870,53707,28045,47387,26400,21591,33289,28466,26754,10916,15600,43233,59501,19889,46814,57751,38164,14691,26067,56859,58987,47308
22,40489,69656,68601,47414,27504,47262,23681,20074,36208,27774,26851,11245,16832,45224,56217,18705,46824,57014,34654,16877,32171,55621,58200,48879
23,50063,67082,63871,44418,32509,47259,18970,20281,39367,27362,23727,12261,19241,45849,50108,19515,51102,55407,29563,18387,39448,54491,54834,53886
24,58810,64644,61255,43066,38937,45113,12955,20659,42011,25791,19145,12589,21782,46733,44922,20025,55186,53500,24864,19542,42896,53297,50846,58125
25,65634,62297,60173,42059,44259,42053,11647,21610,41117,24614,17646,13215,23105,46919,44232,21999,54810,52571,23120,19982,44144,51063,47712,61742
26,66750,59230,59945,43074,44380,39469,10798,23127,39835,23304,19331,13772,23056,48509,44677,24883,55684,51297,21547,19798,43520,48249,44817,63440
27,65767,57488,62144,46426,44380,37788,11104,26686,37249,22773,20894,15419,23312,49497,44141,28464,55454,51223,21853,20486,42574,46957,43336,63738
28,64154,54291,65788,48903,44129,34676,11233,30085,35148,22521,21772,15473,23502,50808,43198,32752,55155,49962,22237,22053,42812,45136,45784,64523
29,61168,48529,69314,53622,45222,29299,12216,34887,33012,20060,22384,17833,22513,49493,44303,41786,55207,46157,22958,25791,41415,41709,48354,67240
30,59043,37558,70744,59025,45547,22669,13850,39531,30686,15977,22767,20793,22526,42498,46871,48444,53134,43960,23092,30463,39493,33201,50125,68968
